Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Tanager Wealth Management LLP,"79,972",0.00,11.4,"10,075",14.41,12/31/22,13F,,,Active    ,56.52,London,,United Kingdom,Growth,Large Cap ,Family Offices/Trusts,,
Manchester Financial Inc.,"79,962",0.00,11.4,(23),(0.03),9/30/22,13F,Low       ,40.52,Active    ,62.80,Westlake Village,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Jackson Square Capital LLC,"79,921",0.00,11.4,"(17,878)",(18.28),12/31/22,13F,Low       ,48.97,Active    ,214.78,San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Mezzasalma Advisors LLC,"79,641",0.00,11.4,860,1.09,9/30/22,13F,,,Active    ,112.60,Tinton Falls,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
CX Institutional LLC,"79,481",0.00,11.4,"26,292",49.43,9/30/22,13F,Moderate  ,68.03,Active    ,386.82,Auburn,IN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Surevest LLC,"79,431",0.00,11.4,"8,629",12.19,9/30/22,13F,Low       ,22.47,Active    ,261.61,Los Angeles,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Bangor Savings Bank,"79,366",0.00,11.3,"(3,638)",(4.38),12/31/22,13F,Very Low  ,12.22,Active    ,191.08,Bangor,ME,USA,Growth,Large Cap ,Banks/Investment Banks,,
F/M Investments LLC,"79,172",0.00,11.3,"(13,500)",(14.57),9/30/22,13F,Moderate  ,91.14,Active    ,92.82,Washington,DC,USA,Growth,Large Cap ,Traditional Investment Managers,2,
Titan Global Capital Management Usa Llc,"79,168",0.00,11.3,"(2,004)",(2.47),9/30/22,13F,,,Active    ,354.34,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Masso Torrence Wealth Management Inc.,"79,114",0.00,11.3,688,0.88,9/30/22,13F,,,Active    ,43.33,Marlton,NJ,USA,Growth,Large Cap ,Family Offices/Trusts,,
Richmond Brothers Inc.,"79,068",0.00,11.3,"(3,186)",(3.87),9/30/22,13F,,,Active    ,50.67,Jackson,MI,USA,Blend,Large Cap ,Family Offices/Trusts,,
Ellevest Inc.,"79,001",0.00,11.3,"7,396",10.33,9/30/22,13F,Very Low  ,13.29,Active    ,172.02,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Souders Financial Advisors LLC,"78,915",0.00,11.3,"(9,910)",(11.16),9/30/22,13F,Very Low  ,19.29,Active    ,191.95,Cincinnati,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Nikulski Financial Inc.,"78,871",0.00,11.3,"(2,246)",(2.77),12/31/22,13F,Very Low  ,12.84,Active    ,83.89,Bettendorf,IA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Allen Capital Group LLC,"78,823",0.00,11.3,"1,663",2.16,9/30/22,13F,Low       ,26.35,Active    ,149.68,Grand Island,NE,USA,Blend,Large Cap ,Family Offices/Trusts,,
The Adirondack Trust Co.,"78,799",0.00,11.3,(696),(0.88),12/31/22,13F,Very Low  ,3.49,Active    ,138.01,Saratoga Springs,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
B&T Capital Management Inc.,"78,682",0.00,11.3,(189),(0.24),9/30/22,13F,Very Low  ,20.00,Active    ,264.90,Austin,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Harbour Capital Advisors LLC,"78,593",0.00,11.2,"(6,606)",(7.75),12/31/22,13F,,,Active    ,247.92,McLean,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Consolidated Capital Management LLC,"78,518",0.00,11.2,498,0.64,12/31/22,13F,Low       ,41.66,Active    ,137.66,North Hollywood,CA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Financial Engines Advisors L.L.C.,"78,501",0.00,11.2,"(2,877)",(3.54),9/30/22,13F,Very Low  ,12.68,Active    ,169.18,Santa Clara,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Glassy Mountain Advisors Inc.,"78,474",0.00,11.2,"2,747",3.63,12/31/22,13F,,,Active    ,163.81,Bethesda,MD,USA,Growth,Large Cap ,Traditional Investment Managers,,
First National Corp.,"78,317",0.00,11.2,"(7,240)",(8.46),12/31/22,13F,Low       ,33.98,Active    ,91.45,Rockland,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Moser Wealth Advisors LLC,"78,292",0.00,11.2,"(1,255)",(1.58),12/31/22,13F,Very Low  ,6.63,Active    ,79.85,Bellevue,WA,USA,Growth,Large Cap ,Traditional Investment Managers,,
LeJeune Puetz Investment Counsel LLC,"78,278",0.00,11.2,"(3,575)",(4.37),12/31/22,13F,Very Low  ,6.07,Active    ,175.09,Traverse City,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Nicholas Investment Partners L.P.,"78,206",0.00,11.2,"12,203",18.49,9/30/22,13F,Moderate  ,75.07,Active    ,"1,084.30",Rancho Santa Fe,CA,USA,Growth,Multi Cap ,Traditional Investment Managers,,
Two Point Capital Management Inc.,"78,129",0.00,11.2,"78,129",,12/31/22,13F,,,,161.28,Pittsford,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Notz Stucki,"77,995",0.00,11.2,0,,6/30/22,Aggregated Mutual Funds,Low       ,32.56,Active    ,440.12,Geneva,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,2,
Baldwin Investment Management LLC,"77,967",0.00,11.1,"(5,921)",(7.06),9/30/22,13F,Very Low  ,7.52,Active    ,545.01,West Conshohocken,PA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Capstone Triton Financial Group LLC,"77,966",0.00,11.1,(777),(0.99),12/31/22,13F,Low       ,24.17,Active    ,86.63,Oklahoma City,OK,USA,Growth,Large Cap ,Traditional Investment Managers,,
Harrington Investments Inc.,"77,866",0.00,11.1,"(3,184)",(3.93),12/31/22,13F,Very Low  ,5.41,Active    ,138.36,Napa,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Brio Consultants LLC,"77,843",0.00,11.1,"40,053",105.99,9/30/22,13F,Moderate  ,52.66,Active    ,21.71,San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Patriot Financial Group Insurance Agency LLC,"77,773",0.00,11.1,"(1,010)",(1.28),12/31/22,13F,Low       ,30.41,Active    ,179.61,Westborough,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
CliftonLarsonAllen Wealth Advisors LLC,"77,664",0.00,11.1,"9,622",14.14,12/31/22,13F,,,Active    ,89.42,Minneapolis,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Virtu Financial Inc.,"77,618",0.00,11.1,"68,418",743.67,9/30/22,13F,Very High ,262.09,Active    ,944.01,New York,NY,USA,Blend,Large Cap ,Banks/Investment Banks,,
Horiko Capital Management LLC,"77,512",0.00,11.1,"2,597",3.47,9/30/22,13F,Low       ,28.82,Active    ,105.88,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),1,
StoneRidge Investment Partners LLC,"77,461",0.00,11.1,"(6,030)",(7.22),9/30/22,13F,High      ,100.22,Active    ,190.18,Radnor,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
"Atlas Brown Investment Advisors, Inc.","77,282",0.00,11.1,"(3,736)",(4.61),12/31/22,13F,Very Low  ,5.99,Active    ,150.41,Louisville,KY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Redwood Investment Management LLC.,"77,109",0.00,11.0,"48,131",166.10,9/30/22,13F,Moderate  ,85.08,Active    ,521.15,Scottsdale,AZ,USA,GARP,Large Cap ,Traditional Investment Managers,2,
BW Gestao de Investimentos Ltda.,"77,075",0.00,11.0,"(41,730)",(35.13),9/30/22,13F,Low       ,32.66,Active    ,"1,506.58",Sao Paulo,SP,Brazil,GARP,Mid Cap   ,Traditional Investment Managers,,
Etoile Gestion SA,"76,637",0.00,11.0,0,,3/31/22,Aggregated Mutual Funds,Low       ,21.51,Active    ,"1,134.12",Paris,,France,GARP,Large Cap ,Traditional Investment Managers,1,
MV Capital Management Inc.,"76,587",0.00,11.0,"10,482",15.86,12/31/22,13F,Low       ,30.38,Active    ,200.60,Bethesda,MD,USA,Growth,Large Cap ,Traditional Investment Managers,,
Monterey Pvt. Wealth Inc.,"76,522",0.00,10.9,"(1,704)",(2.18),12/31/22,13F,Low       ,30.36,Active    ,60.23,Monterey,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
NVWM LLC,"76,478",0.00,10.9,"3,441",4.71,9/30/22,13F,Low       ,45.21,Active    ,187.14,Ewing,NJ,USA,Growth,Large Cap ,Family Offices/Trusts,,
Saban Capital Group LLC,"76,360",0.00,10.9,0,,9/30/22,13F,,,,99.65,Los Angeles,CA,USA,Growth,Large Cap ,VC/PE Firms (<5% stake),,
American Investment Services Inc.,"76,346",0.00,10.9,"2,490",3.37,9/30/22,13F,Very Low  ,15.67,Active    ,122.06,Great Barrington,MA,USA,GARP,Large Cap ,Traditional Investment Managers,,
Piguet Galland & Cie SA,"76,317",0.00,10.9,897,1.19,9/30/22,13F,Low       ,24.02,Active    ,341.28,Geneva,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,2,
WBH Advisory Inc.,"76,288",0.00,10.9,"(1,933)",(2.47),9/30/22,13F,Very Low  ,18.20,Active    ,174.53,Baltimore,MD,USA,Blend,Large Cap ,Traditional Investment Managers,,
Mattern Capital Management LLC,"76,210",0.00,10.9,(743),(0.97),9/30/22,13F,Very Low  ,5.88,Active    ,511.08,Lakewood,CO,USA,Blend,Large Cap ,Traditional Investment Managers,,
Ifrah Financial Services Inc.,"76,121",0.00,10.9,307,0.41,9/30/22,13F,Very Low  ,18.23,Active    ,78.74,Little Rock,AR,USA,Growth,Large Cap ,Traditional Investment Managers,,
Little House Capital LLC,"76,111",0.00,10.9,"5,263",7.43,9/30/22,13F,Moderate  ,77.45,Active    ,137.93,Braintree,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Dumont & Blake Investment Advisors LLC,"75,873",0.00,10.8,(175),(0.23),12/31/22,13F,Very Low  ,4.65,Active    ,140.59,Princeton,NJ,USA,Blend,Large Cap ,Family Offices/Trusts,,
Carne Global Fund Managers Ireland Ltd,"75,837",0.00,10.8,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,18.54,Active    ,310.46,Dublin,,Ireland,Growth,Large Cap ,Traditional Investment Managers,1,
The Mathes Company Inc.,"75,723",0.00,10.8,"(2,357)",(3.02),12/31/22,13F,Very Low  ,11.40,Active    ,128.41,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Founders Financial Inc.,"75,662",0.00,10.8,"4,416",6.20,9/30/22,13F,Low       ,49.03,Active    ,148.03,Towson,MD,USA,Growth,Large Cap ,Traditional Investment Managers,,
AJ Wealth Strategies LLC,"75,654",0.00,10.8,"(11,532)",(13.23),12/31/22,13F,Low       ,47.29,Active    ,201.20,New York,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Dominice Asset Management,"75,600",0.00,10.8,0,,6/30/22,Aggregated Mutual Funds,High      ,115.94,Active    ,143.70,Geneva,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,1,
Atlas Capital Advisors Inc.,"75,514",0.00,10.8,1,0.00,9/30/22,13F,Low       ,35.72,Active    ,266.46,San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
High Note Wealth LLC,"75,468",0.00,10.8,684,0.92,12/31/22,13F,Very Low  ,13.18,Active    ,99.94,Deephaven,MN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Birch Capital Management LLC,"75,419",0.00,10.8,(43),(0.06),9/30/22,13F,Very Low  ,6.96,Active    ,144.72,Dallas,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Onyx Bridge Wealth Group LLC,"75,215",0.00,10.8,"23,631",45.81,12/31/22,13F,Moderate  ,85.97,Active    ,51.45,Tarrytown,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
IVC Wealth Advisors LLC,"75,076",0.00,10.7,"(1,028)",(1.35),12/31/22,13F,Very Low  ,14.54,Active    ,89.79,Silverdale,PA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Consolidated Planning Corp.,"75,067",0.00,10.7,"(1,038)",(1.36),9/30/22,13F,Low       ,20.99,Active    ,155.45,Atlanta,GA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Roof Eidam Maycock Peralta LLC,"74,893",0.00,10.7,592,0.80,9/30/22,13F,Low       ,32.50,Active    ,61.23,San Francisco,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
WFA of San Diego LLC,"74,828",0.00,10.7,"5,153",7.40,9/30/22,13F,,,Active    ,48.28,San Diego,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Howard Financial Services Ltd.,"74,784",0.00,10.7,(519),(0.69),12/31/22,13F,Very Low  ,11.64,Active    ,55.13,Dallas,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
UMA Financial Services Inc,"74,783",0.00,10.7,(240),(0.32),12/31/22,13F,Very Low  ,18.54,Active    ,47.31,Salt Lake City,UT,USA,Growth,Large Cap ,Family Offices/Trusts,,
Jackson Hole Capital Partners LLC,"74,753",0.00,10.7,"4,330",6.15,9/30/22,13F,Very Low  ,14.18,Active    ,260.25,Tulsa,OK,USA,Growth,Large Cap ,Traditional Investment Managers,,
Legacy Advisors LLC,"74,695",0.00,10.7,(771),(1.02),9/30/22,13F,Very Low  ,17.40,Active    ,414.33,Plymouth Meeting,PA,USA,Blend,Multi Cap ,Family Offices/Trusts,,
Jarislowsky Fraser Ltd.,"74,643",0.00,10.7,(219),(0.29),9/30/22,13F,Very Low  ,14.21,Active    ,"18,565.52",Montreal,QC,Canada,Growth,Large Cap ,Traditional Investment Managers,1,
LexAurum Advisors LLC,"74,621",0.00,10.7,"(1,590)",(2.09),12/31/22,13F,Low       ,32.36,Active    ,106.55,Overland Park,KS,USA,Blend,Large Cap ,Family Offices/Trusts,,
Gibraltar Capital Management Inc.,"74,565",0.00,10.7,"1,043",1.42,12/31/22,13F,Low       ,26.57,Active    ,211.39,Tulsa,OK,USA,Blend,Large Cap ,Traditional Investment Managers,,
Kirix VermÖGensverwaltung Ag,"74,560",0.00,10.7,"(23,360)",(23.86),12/31/22,Aggregated Mutual Funds,Low       ,37.24,Active    ,357.52,Kassel,,Germany,Growth,Large Cap ,Traditional Investment Managers,4,
Sentinel Trust Co LBA,"74,446",0.00,10.6,"(5,232)",(6.57),9/30/22,13F,Very Low  ,18.87,Active    ,74.32,Houston,TX,USA,GARP,Large Cap ,Family Offices/Trusts,,
Cardinal Capital Management Inc.,"74,368",0.00,10.6,(175),(0.24),12/31/22,13F,Very Low  ,5.96,Active    ,480.02,Raleigh,NC,USA,Blend,Large Cap ,Traditional Investment Managers,,
Baugh & Associates LLC,"74,271",0.00,10.6,(76),(0.10),12/31/22,13F,Very Low  ,3.49,Active    ,152.48,Atlanta,GA,USA,GARP,Large Cap ,Traditional Investment Managers,,
Northwest Bancshares Inc.,"74,160",0.00,10.6,(19),(0.03),9/30/22,13F,Low       ,20.86,Active    ,311.65,Columbus,OH,USA,Growth,Large Cap ,Banks/Investment Banks,,
Union Heritage Capital,"74,000",0.00,10.6,0,,9/30/22,13F,,,Active    ,172.13,Bloomfield Hills,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Monarch Capital Management Inc,"73,918",0.00,10.6,"(7,510)",(9.22),12/31/22,13F,Very Low  ,3.78,Active    ,318.64,Fort Wayne,IN,USA,Blend,Large Cap ,Traditional Investment Managers,,
Silver Oak Securities Inc.,"73,758",0.00,10.5,"(4,389)",(5.62),9/30/22,13F,,,Active    ,77.37,Jackson,TN,USA,Growth,Large Cap ,Banks/Investment Banks,,
New Capital Management LP,"73,641",0.00,10.5,(192),(0.26),12/31/22,13F,,,Passive   ,75.67,Houston,TX,USA,Blend,Large Cap ,Traditional Investment Managers,,
Delta Financial Advisors L.L.C.,"73,557",0.00,10.5,21,0.03,9/30/22,13F,Very Low  ,4.80,Active    ,173.67,New Orleans,LA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Kesler Norman & Wride LLC,"73,530",0.00,10.5,"2,648",3.74,9/30/22,13F,,,Active    ,298.87,Ogden,UT,USA,Growth,Large Cap ,Family Offices/Trusts,,
Terrain- Und Finanzgesellschaft Basel,"73,500",0.00,10.5,0,,4/30/22,Aggregated Mutual Funds,Very Low  ,16.91,Active    ,423.79,Basel,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,1,
Strategiq Financial Group LLC,"73,390",0.00,10.5,"(1,473)",(1.97),12/31/22,13F,Very Low  ,10.58,Active    ,250.23,Merrillville,IN,USA,Blend,Large Cap ,Traditional Investment Managers,,
TCWP LLC,"73,359",0.00,10.5,234,0.32,9/30/22,13F,,,Active    ,164.85,Saint Petersburg,FL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Solstein Capital LLC,"73,259",0.00,10.5,0,,9/30/22,13F,Moderate  ,69.02,Active    ,92.54,Menlo Park,CA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Torray Investment Partners LLC,"73,237",0.00,10.5,"3,653",5.25,9/30/22,13F,Low       ,27.01,Active    ,569.64,Bethesda,MD,USA,Growth,Large Cap ,Traditional Investment Managers,,
JSF Financial LLC,"73,139",0.00,10.5,"1,961",2.76,9/30/22,13F,Low       ,37.81,Active    ,63.49,Los Angeles,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
SeaBridge Investment Advisors LLC,"73,095",0.00,10.5,"(4,308)",(5.57),12/31/22,13F,Low       ,22.88,Active    ,222.98,Summit,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
First National Bank of Mount Dora,"72,987",0.00,10.4,"1,348",1.88,12/31/22,13F,Low       ,22.92,Active    ,272.34,Mount Dora,FL,USA,Growth,Large Cap ,Banks/Investment Banks,,
Salomon and Ludwin LLC,"72,964",0.00,10.4,"26,291",56.33,9/30/22,13F,Very Low  ,4.99,Active    ,79.80,Richmond,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fermata Advisors LLC,"72,680",0.00,10.4,(637),(0.87),9/30/22,13F,,,Active    ,26.74,Sonoma,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Hedeker Wealth LLC,"72,626",0.00,10.4,"(1,765)",(2.37),12/31/22,13F,Moderate  ,58.03,Active    ,215.33,Lincolnshire,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Paces Ferry Wealth Advisors LLC,"72,604",0.00,10.4,"(1,924)",(2.58),12/31/22,13F,Very Low  ,13.22,Active    ,60.42,Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Lux-Fund Advisory SA,"72,525",0.00,10.4,0,,6/30/22,Aggregated Mutual Funds,Low       ,30.56,Active    ,845.11,,,Luxembourg,Blend,Large Cap ,Traditional Investment Managers,2,
Gutmann Kapitalanlageaktiengesellschaft,"72,481",0.00,10.4,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,14.32,Active    ,628.74,Vienna,,Austria,Blend,Large Cap ,Traditional Investment Managers,8,
Henry H. Armstrong Associates Inc.,"72,394",0.00,10.4,"(3,084)",(4.09),12/31/22,13F,Very Low  ,0.88,Active    ,802.09,Pittsburgh,PA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Evermay Wealth Management LLC,"72,380",0.00,10.4,"(3,082)",(4.08),12/31/22,13F,Very Low  ,10.48,Active    ,126.42,Arlington,VA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Mechanics Financial Corp.,"72,379",0.00,10.4,(395),(0.54),12/31/22,13F,,,,118.09,Mansfield,OH,USA,Blend,Large Cap ,Banks/Investment Banks,,
"PEAK6 Investments, L.P.","72,144",0.00,10.3,"(343,107)",(82.63),9/30/22,13F,High      ,163.86,Active    ,"2,930.05",Chicago,IL,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Girard Investment Services LLC,"72,106",0.00,10.3,"(3,641)",(4.81),9/30/22,13F,Low       ,22.74,Active    ,211.22,Souderton,PA,USA,Growth,Large Cap ,Family Offices/Trusts,,
TLW Wealth Management LLC,"72,072",0.00,10.3,(544),(0.75),12/31/22,13F,Very Low  ,12.75,Active    ,128.01,Indian Rocks Beach,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Strategic Investment Advisors LLC,"71,980",0.00,10.3,(950),(1.30),12/31/22,13F,Low       ,44.27,Active    ,156.34,Farmington Hills,MI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Cairn Investment Group Inc.,"71,943",0.00,10.3,"1,035",1.46,12/31/22,13F,Low       ,27.81,Active    ,101.02,Portland,OR,USA,Blend,Large Cap ,Family Offices/Trusts,,
Indiana Trust Wealth Management,"71,860",0.00,10.3,"2,756",3.99,12/31/22,13F,Very Low  ,7.81,Active    ,103.14,Mishawaka,IN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Northwest Investment Counselors LLC,"71,761",0.00,10.3,212,0.30,12/31/22,13F,Very Low  ,6.98,Active    ,259.90,Lake Oswego,OR,USA,Blend,Large Cap ,Traditional Investment Managers,,
Rothschild & Cie Gestion,"71,600",0.00,10.2,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,14.66,Active    ,"4,911.66",Paris,,France,Growth,Large Cap ,Traditional Investment Managers,2,
SAM Asset Management S.A. de C.V. Sociedad Operadora de Sociedades de Inversión,"71,510",0.00,10.2,"(13,059)",(15.44),12/30/22,Aggregated Mutual Funds,Low       ,32.42,Active    ,946.36,Mexico City,DF,Mexico,Growth,Large Cap ,Traditional Investment Managers,4,
Blodgett Wealth Advisors LLC,"71,485",0.00,10.2,"(5,587)",(7.25),9/30/22,13F,,,Active    ,61.63,Concord,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Alapocas Investment Partners Inc.,"71,485",0.00,10.2,970,1.38,9/30/22,13F,,,Active    ,112.61,Beverly,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Woodward Diversified Capital LLC,"71,475",0.00,10.2,(277),(0.39),9/30/22,13F,,,Active    ,105.25,Bakersfield,CA,USA,GARP,Large Cap ,Family Offices/Trusts,,
Tiemann Investment Advisors LLC,"71,357",0.00,10.2,"(4,523)",(5.96),9/30/22,13F,Very Low  ,8.29,Active    ,101.47,Menlo Park,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Larson Financial Group LLC,"71,339",0.00,10.2,"22,413",45.81,9/30/22,13F,Very Low  ,12.90,Active    ,224.65,Chesterfield,MO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Arco - Fondo Nazionale Pensione Complementare,"71,300",0.00,10.2,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,14.97,Active    ,44.45,Milano,MI,Italy,Growth,Large Cap ,Traditional Investment Managers,2,
Keystone Wealth Services LLC,"71,220",0.00,10.2,928,1.32,9/30/22,13F,,,Active    ,65.51,Palm Desert,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Cable Hill Partners LLC,"71,209",0.00,10.2,"(1,346)",(1.86),9/30/22,13F,Very Low  ,16.67,Active    ,143.69,Portland,OR,USA,Blend,Large Cap ,Family Offices/Trusts,,
Oak Harbor Wealth Partners LLC,"71,202",0.00,10.2,208,0.29,12/31/22,13F,,,Active    ,188.33,Raleigh,NC,USA,Blend,Large Cap ,Traditional Investment Managers,,
McGinn Investment Management Inc.,"71,130",0.00,10.2,"1,825",2.63,9/30/22,13F,Very Low  ,11.57,Active    ,138.20,Alexandria,VA,USA,Blend,Large Cap ,Traditional Investment Managers,1,
TRH Financial LLC,"71,118",0.00,10.2,0,,6/30/22,13F,Very Low  ,15.37,Active    ,261.13,North Liberty,IA,USA,Blend,Large Cap ,Unclassified,,
McDonough Capital Management Inc.,"71,000",0.00,10.2,405,0.57,9/30/22,13F,,,Active    ,76.76,Orlando,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fairhaven Wealth Management LLC,"70,932",0.00,10.1,"3,525",5.23,9/30/22,13F,Very Low  ,13.27,Active    ,107.96,Oak Brook,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Newman Dignan & Sheerar Inc.,"70,881",0.00,10.1,(572),(0.80),12/31/22,13F,Very Low  ,17.81,Active    ,132.30,Providence,RI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Columbia Trust Co.,"70,819",0.00,10.1,"(1,001)",(1.39),9/30/22,13F,,,Active    ,134.84,Portland,OR,USA,Growth,Large Cap ,Insurance Companies,,
VeraBank NA,"70,814",0.00,10.1,(381),(0.54),12/31/22,13F,Very Low  ,4.70,Active    ,120.95,Henderson,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Corbenic Partners LLC,"70,727",0.00,10.1,0,,6/30/22,13F,Very Low  ,19.03,Active    ,170.09,Bethlehem,PA,USA,Blend,Large Cap ,Banks/Investment Banks,,
KRS Capital Management LLC,"70,687",0.00,10.1,"(1,024)",(1.43),12/31/22,13F,,,,76.80,Bloomfield Hills,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Cerro Pacific Wealth Advisors LLC,"70,638",0.00,10.1,13,0.02,12/31/22,13F,,,Active    ,109.74,San Luis Obispo,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Alm Brand Asset Management,"70,581",0.00,10.1,0,,10/31/21,Aggregated Mutual Funds,Very Low  ,5.19,Active    ,255.24,Copenhagen,,Denmark,GARP,Large Cap ,Traditional Investment Managers,1,
Advocate Group LLC,"70,547",0.00,10.1,"(1,920)",(2.65),12/31/22,13F,,,Active    ,408.13,Minnetonka,MN,USA,GARP,Large Cap ,Unclassified,,
Alaethes Wealth LLC,"70,488",0.00,10.1,"3,685",5.52,9/30/22,13F,,,Active    ,130.68,Glenbrook,NV,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fullerton Fund Management Co. Ltd.,"70,442",0.00,10.1,"62,184",753.02,9/30/22,13F,Moderate  ,75.70,Active    ,"2,549.15",Singapore,,Singapore,Growth,Large Cap ,Traditional Investment Managers,1,
Lederer & Associates Investment Counsel,"70,353",0.00,10.1,"(1,705)",(2.37),12/31/22,13F,Very Low  ,7.59,Active    ,112.78,Long Beach,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Capital Market Strategies Llc,"70,273",0.00,10.0,"1,304",1.89,12/31/22,13F,,,Active    ,61.40,Palm Beach Gardens,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Northcape Wealth Management LLC,"70,220",0.00,10.0,"15,113",27.43,9/30/22,13F,,,Active    ,213.50,Williamsville,NY,USA,Blend,Large Cap ,Family Offices/Trusts,,
FLC Capital Advisors,"70,195",0.00,10.0,61,0.09,12/31/22,13F,Low       ,47.83,Active    ,111.05,Palm Desert,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
American Trust Investment Advisors LLC,"70,007",0.00,10.0,"(5,320)",(7.06),9/30/22,13F,Low       ,27.56,Active    ,171.71,Lebanon,NH,USA,Blend,Large Cap ,Traditional Investment Managers,1,
Georgetown University Endowment,"69,982",0.00,10.0,93,0.13,9/30/22,13F,,,Active    ,162.25,Washington,DC,USA,Growth,Multi Cap ,Educational/Cultural Endowments,,
Sterling Investment Counsel LLC,"69,976",0.00,10.0,"14,870",26.98,12/31/22,13F,,,Active    ,76.59,Buffalo,NY,USA,Blend,Large Cap ,Traditional Investment Managers,,
Golden Green Inc.,"69,910",0.00,10.0,"(3,540)",(4.82),12/31/22,13F,Moderate  ,91.06,Active    ,66.01,Seneca,SC,USA,Growth,Large Cap ,Family Offices/Trusts,,
